name,language,stars,description,url
eigent-ai/eigent,TypeScript,"5,087",Eigent: The Open Source Cowork Desktop to Unlock Your Exceptional Productivity.,https://github.com/eigent-ai/eigent
blakeblackshear/frigate,TypeScript,"29,229",NVR with realtime local object detection for IP cameras,https://github.com/blakeblackshear/frigate
obra/superpowers,Shell,"23,440",Claude Code superpowers: core skills library,https://github.com/obra/superpowers
cilium/cilium,Go,"23,282","eBPF-based Networking, Security, and Observability",https://github.com/cilium/cilium
wavetermdev/waveterm,Go,"16,294","An open-source, cross-platform terminal for seamless workflows",https://github.com/wavetermdev/waveterm
ultralytics/ultralytics,Python,"51,259",Ultralytics YOLO 🚀,https://github.com/ultralytics/ultralytics
mudler/LocalAI,Go,"41,771","🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, MCP, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference",https://github.com/mudler/LocalAI
google-ai-edge/mediapipe,C++,"33,103","Cross-platform, customizable ML solutions for live and streaming media.",https://github.com/google-ai-edge/mediapipe
puckeditor/puck,TypeScript,"10,378",The visual editor for React,https://github.com/puckeditor/puck
twitter/the-algorithm,Scala,"70,082",Source code for the X Recommendation Algorithm,https://github.com/twitter/the-algorithm
